Ticker,Volume
SQQQ,76.28
SPY,37.6
FXI,30.4
QQQ,27.77
XLF,22.08
GDX,20.7
EWZ,17.65
IWM,17.2
EEM,16.09
VEA,11.73
UVXY,10.02
XLE,10
EFA,9.15
XLU,8.71
KRE,6.76
GDXJ,4.87
USO,4.36
XLK,3.67
XOP,2.95
EWJ,2.15
DUST,2.1
UCO,1.93
JDST,1.74
EPI,1.63
AMLP,1.08
NUGT,1.01
XHB,
EZU,
ITB,
DBEF,
DXJ,
HEDJ,
RSX,
DGAZF,
UWT,
UGAZF,
TVIX,
